id,municipio,localidad,active,sort_order,created_at,updated_at
LOC-001,Abalá,Abalá,true,1,2026-07-08T01:57:23.812Z,2026-07-08T01:57:23.812Z
LOC-002,Abalá,Temozón,true,2,2026-07-08T01:57:23.812Z,2026-07-08T01:57:23.812Z
LOC-003,Abalá,Mucuyché,true,3,2026-07-08T01:57:23.812Z,2026-07-08T01:57:23.812Z
LOC-004,Dzán,Dzán,true,4,2026-07-08T01:57:23.812Z,2026-07-08T01:57:23.812Z
LOC-005,Hoctún,San José Oriente,true,5,2026-07-08T01:57:23.812Z,2026-07-08T01:57:23.812Z
LOC-006,Izamal,Citilcum,true,6,2026-07-08T01:57:23.812Z,2026-07-08T01:57:23.812Z
LOC-007,Izamal,Kimbilá,true,7,2026-07-08T01:57:23.812Z,2026-07-08T01:57:23.812Z
LOC-008,Maní,Tipikal,true,8,2026-07-08T01:57:23.812Z,2026-07-08T01:57:23.812Z
LOC-009,Maní,Maní,true,9,2026-07-08T01:57:23.812Z,2026-07-08T01:57:23.812Z
LOC-010,Mérida,Yaxnic,true,10,2026-07-08T01:57:23.812Z,2026-07-08T01:57:23.812Z
LOC-011,Mérida,Mérida,true,11,2026-07-08T01:57:23.812Z,2026-07-08T01:57:23.812Z
LOC-012,Mérida,San Pedro Chimay,true,12,2026-07-08T01:57:23.812Z,2026-07-08T01:57:23.812Z
LOC-013,Muna,Muna,true,13,2026-07-08T01:57:23.812Z,2026-07-08T01:57:23.812Z
LOC-014,Oxkutzcab,Oxkutzcab,true,14,2026-07-08T01:57:23.812Z,2026-07-08T01:57:23.812Z
LOC-015,Oxkutzcab,Yaxhachén,true,15,2026-07-08T01:57:23.812Z,2026-07-08T01:57:23.812Z
LOC-016,Tahdziú,Tahdziú,true,16,2026-07-08T01:57:23.812Z,2026-07-08T01:57:23.812Z
LOC-017,Teabo,Teabo,true,17,2026-07-08T01:57:23.812Z,2026-07-08T01:57:23.812Z
LOC-018,Tekax,Tekax de Álvaro Obregón,true,18,2026-07-08T01:57:23.812Z,2026-07-08T01:57:23.812Z
LOC-019,Tekit,Tekit,true,19,2026-07-08T01:57:23.812Z,2026-07-08T01:57:23.812Z
LOC-020,Valladolid,Tixhualactún,true,20,2026-07-08T01:57:23.812Z,2026-07-08T01:57:23.812Z
LOC-021,Valladolid,Xocén,true,21,2026-07-08T01:57:23.812Z,2026-07-08T01:57:23.812Z
LOC-022,Valladolid,Dzitnup,true,22,2026-07-08T01:57:23.812Z,2026-07-08T01:57:23.812Z
LOC-023,Valladolid,Kanxoc,true,23,2026-07-08T01:57:23.812Z,2026-07-08T01:57:23.812Z
LOC-024,Valladolid,Valladolid,true,24,2026-07-08T01:57:23.812Z,2026-07-08T01:57:23.812Z
LOC-025,Valladolid,Tikuch,true,25,2026-07-08T01:57:23.812Z,2026-07-08T01:57:23.812Z
LOC-026,Valladolid,San Antonio,true,26,2026-07-08T01:57:23.812Z,2026-07-08T01:57:23.812Z
