id,category_id,name,code,active,sort_order,created_at,updated_at
SUB-ADU-BLU,CAT-ADU,Blusa,BLU,true,1,2026-07-08T01:57:23.812Z,2026-07-08T01:57:23.812Z
SUB-ADU-HIP,CAT-ADU,Hipil,HIP,true,2,2026-07-08T01:57:23.812Z,2026-07-08T01:57:23.812Z
SUB-ADU-VES,CAT-ADU,Vestido,VES,true,3,2026-07-08T01:57:23.812Z,2026-07-08T01:57:23.812Z
SUB-ADU-FAL,CAT-ADU,Falda,FAL,true,4,2026-07-08T01:57:23.812Z,2026-07-08T01:57:23.812Z
SUB-ADU-CAM,CAT-ADU,Camisa,CAM,true,5,2026-07-08T01:57:23.812Z,2026-07-08T01:57:23.812Z
SUB-ADU-FAJ,CAT-ADU,Faja,FAJ,true,6,2026-07-08T01:57:23.812Z,2026-07-08T01:57:23.812Z
SUB-ADU-OTR,CAT-ADU,Otro,OTR,true,7,2026-07-08T01:57:23.812Z,2026-07-08T01:57:23.812Z
SUB-NIN-BLU,CAT-NIN,Blusa,BLU,true,8,2026-07-08T01:57:23.812Z,2026-07-08T01:57:23.812Z
SUB-NIN-HIP,CAT-NIN,Hipil,HIP,true,9,2026-07-08T01:57:23.812Z,2026-07-08T01:57:23.812Z
SUB-NIN-VES,CAT-NIN,Vestido,VES,true,10,2026-07-08T01:57:23.812Z,2026-07-08T01:57:23.812Z
SUB-NIN-FAL,CAT-NIN,Falda,FAL,true,11,2026-07-08T01:57:23.812Z,2026-07-08T01:57:23.812Z
SUB-NIN-CAM,CAT-NIN,Camisa,CAM,true,12,2026-07-08T01:57:23.812Z,2026-07-08T01:57:23.812Z
SUB-NIN-FAJ,CAT-NIN,Faja,FAJ,true,13,2026-07-08T01:57:23.812Z,2026-07-08T01:57:23.812Z
SUB-NIN-OTR,CAT-NIN,Otro,OTR,true,14,2026-07-08T01:57:23.812Z,2026-07-08T01:57:23.812Z
SUB-ACC-BOL,CAT-ACC,Bolsa,BOL,true,15,2026-07-08T01:57:23.812Z,2026-07-08T01:57:23.812Z
SUB-ACC-SER,CAT-ACC,Servilleta,SER,true,16,2026-07-08T01:57:23.812Z,2026-07-08T01:57:23.812Z
SUB-ACC-CIN,CAT-ACC,Cinturón,CIN,true,17,2026-07-08T01:57:23.812Z,2026-07-08T01:57:23.812Z
SUB-ACC-ARE,CAT-ACC,Aretes,ARE,true,18,2026-07-08T01:57:23.812Z,2026-07-08T01:57:23.812Z
SUB-ACC-COL,CAT-ACC,Collar,COL,true,19,2026-07-08T01:57:23.812Z,2026-07-08T01:57:23.812Z
SUB-ACC-OTR,CAT-ACC,Otro,OTR,true,20,2026-07-08T01:57:23.812Z,2026-07-08T01:57:23.812Z
